":) I just checked and the emails I have received from Zenefits include Background check, Affordable care act info and background check results -- nothing on benefits election or signing in....  I am available now to 1:00 EST and again at 2:00 EST if you would like to call and check in.  Or better, what's a good time to call you?",Low-A
This is very cool.  I bet there are a lot of cool things I still don’t know about Herrmann.   :)  Enjoy today!,Low-A
Sounds like it was a great event!  Wonderful news.   Thank you all!,Low-A
Thank you for your help reminding me I was already set up.  Guess the first week was a bit of a blur :).  I am getting confirmation that my health care is being set up and it reminded me I never got back to you on HAS.  I think I will go with $2000 for HAS.  I am afraid I will not get through all of it even with dental.  The good news is we stay pretty healthy here.  (knock on wood)!  Let me know if you need anything further from me.,Low-A
"I have had the time to read the offer letter and other materials you sent and while it looks good in general, I do have a few questions, comments prior to signing.    1. We discussed growth, bonus or incentive"" and I don't see anything in the offer about that.  You mentioned you would follow up with Leslie about this and I am eager to hear what was discussed.  There is a lot of potential business growth I anticipate being a key driver of and support in, and I would like to see some ""reward"" for generating business growth. I would like to have this reflected in my offer letter.",Low-A
"2. The benefits not starting until 30 days after my start date are a surprise and this creates a hardship for me. Based on the language of the offer letter, if I started on Monday 2/29, I would be ""covered"" on March 1st. That would be far more appealing than waiting a month. My experience with other companies is benefits are covered as of day one regardless of start date. My proposal is that either start on Monday 2/29, so my benefits start on 3/1 or keep my start date 3/1 and make an exception to start my benefits immediately.",Low-A
"3. I am assuming the other points we discussed (email of 2/11 - agreements regarding prior work commitments and development dates) do not need to be in the offer.  They are ""professional"" agreements. That said, let me know if there is anything there that should be in writing.  4. On page 3 of the offer letter, it states I need to complete and sign the ""Herrmann International Application Form"".  Is this form on line or do you have a soft copy? It was not included with the other documents your sent me.    5. Regarding the benefits, I have a few questions - who would be best to speak with?    Thanks in advance for your help with these things.",Low-A
"Just an update regarding my email from yesterday.  I have connected with Shanna and she has shared the information needed regarding benefits.  I have also downloaded the employee handbook for some light Saturday reading and filled out the Zenefit info requested.   I know you are busy, and if it helps to connect over the weekend, I am around.  I look forward to hearing from you as you have time.",Low-A
Great Idea – I was thinking the same thing.,Low-A
Thank you for all you have done Betsy to help make this successful.,Low-A
Great Trick!  Thank you for sharing Dorothy!,Low-A
"I was telling Betsy about an interesting email I received from a CP based on the marketing email Beckie sent in my name asking CP’s for input.  She shared perhaps I could send it to the goodnews@hbdi.com internal distribution list, so I am sharing!  (I was not aware of this distribution list – but I like the idea :)).  The email is from Rosanne Vrugtman (below) giving us an update on things she is doing with HBDI and I think it’s “Good News”.   Enjoy your weekend.",Low-A
HeHe … I thought I heard that too!    Thank you Jeff!,Low-A
Facilitators have been communicated with regarding this upcoming change.,Low-A
"I am actually open on Tue as well (it’s showing blocked to 2 am CT because it’s to Midnight PST on my holiday calendar).  And Victoria, just a reminder, I am okay with calls as early as 6 AM PST, so if that works best for you I am good with that.   Back to you Victoria. :)",Low-A
"Perhaps we can invite them to the NY cert in November? Or do a BIG push to fill (might be worth it at 3-5 people).    We do have a Facilitator I was supposed to observe at this session (Bradley Humbles from BIG I think, he needs a session to become a Master Facilitator).  I am not 100% sure how to handle this.  I am not sure if he is being paid or this is an “unpaid” training to complete his master certification.  If the venue is free, and I am at expense, and Bradley is at expense, would it be worth it to get him and two people certified?  There may not be a profit, but we would get Bradley trained and two others on their way?   Open to the collective thinking.  What’s needed now?",Low-A
